655.79     	659.13     	1
832.80     	836.58     	1
849.62     	852.86     	1
855.12     	857.19     	1
857.26     	858.96     	1
859.02     	862.97     	1
873.11     	876.78     	1
962.16     	966.87     	1
1038.97     	1040.92     	1
1507.37     	1510.41     	1
1512.28     	1515.02     	1
1528.09     	1530.04     	1
1530.10     	1532.60     	1
1873.90     	1876.75     	1
2846.08     	2848.28     	1
2864.56     	2869.20     	1
2911.01     	2913.28     	1
3081.55     	3083.49     	1
3288.75     	3291.23     	1
3323.42     	3326.42     	1
3384.35     	3387.62     	1
3675.74     	3678.08     	1
3732.49     	3733.77     	1
3999.56     	4002.30     	1
4147.54     	4152.52     	1
4520.72     	4523.25     	1
4753.55     	4755.49     	1
5094.49     	5097.60     	1
5178.64     	5181.28     	1
5345.84     	5348.82     	1
5383.91     	5387.29     	1
5409.20     	5412.28     	1
5747.88     	5750.69     	1
6919.11     	6922.75     	1
7305.80     	7309.77     	1
7340.70     	7342.11     	1
7368.80     	7372.44     	1
7867.73     	7870.07     	1
